"region";"år";"statistikkvariabel";"06913: Befolkning og endringer, etter region, år og statistikkvariabel"
"K_3105 Sarpsborg";"1977";"Levendefødte";553
"K_3105 Sarpsborg";"1977";"Døde";447
"K_3105 Sarpsborg";"1978";"Befolkning 1. januar";45567
"K_3105 Sarpsborg";"1978";"Levendefødte";562
"K_3105 Sarpsborg";"1978";"Døde";443
"K_3105 Sarpsborg";"1979";"Befolkning 1. januar";45645
"K_3105 Sarpsborg";"1979";"Levendefødte";553
"K_3105 Sarpsborg";"1979";"Døde";447
"K_3105 Sarpsborg";"1980";"Befolkning 1. januar";45664
"K_3105 Sarpsborg";"1980";"Levendefødte";541
"K_3105 Sarpsborg";"1980";"Døde";470
"K_3105 Sarpsborg";"1981";"Befolkning 1. januar";45824
"K_3105 Sarpsborg";"1981";"Levendefødte";523
"K_3105 Sarpsborg";"1981";"Døde";497
"K_3105 Sarpsborg";"1982";"Befolkning 1. januar";45883
"K_3105 Sarpsborg";"1982";"Levendefødte";537
"K_3105 Sarpsborg";"1982";"Døde";447
